"task_phase","clinical_variable","n","rho","p_raw","p_fdr"
"S.E","bprs_negative",45,-0.185204005669073,0.223225591329092,0.558063978322729
"S.E","bprs_depanx",45,-0.257281337865892,0.0879739411701233,0.558063978322729
"S.R","bprs_negative",45,0.19437652743564,0.200731979609551,0.558063978322729
"S.R","bprs_mania",45,0.21039385658908,0.165370812096842,0.558063978322729
"S.E","bprs_mania",45,0.120063160873553,0.432106672539316,0.661249722703422
"S.E","total_cpz_eq",45,-0.100766951533924,0.510137856655174,0.661249722703422
"S.R","bprs_positive",45,-0.0963376083019514,0.528999778162737,0.661249722703422
"S.R","bprs_depanx",45,0.105636068322121,0.489802181179788,0.661249722703422
"S.E","bprs_positive",45,0.0109760075347453,0.942952511998747,0.942952511998747
"S.R","total_cpz_eq",45,-0.023325071404246,0.879118434642147,0.942952511998747
