"from","to","strength"
"BasalGanglia_L_t_0","BasalGanglia_R_t_0",1
"BasalGanglia_L_t_0","Cerebellum_L_t_0",0.39
"BasalGanglia_L_t_0","Cerebellum_R_t_0",0.36
"BasalGanglia_L_t_0","Cingulate_L_t_0",0.17
"BasalGanglia_L_t_0","Cingulate_R_t_0",0.2
"BasalGanglia_L_t_0","DVARS_t_0",0.01
"BasalGanglia_L_t_0","Frontal_L_t_0",0.36
"BasalGanglia_L_t_0","Frontal_Orb_L_t_0",0.39
"BasalGanglia_L_t_0","Frontal_Orb_R_t_0",0.6
"BasalGanglia_L_t_0","Frontal_R_t_0",0.53
"BasalGanglia_L_t_0","Insula_L_t_0",0.29
"BasalGanglia_L_t_0","Insula_R_t_0",0.3
"BasalGanglia_L_t_0","Limbic_L_t_0",0.67
"BasalGanglia_L_t_0","Limbic_R_t_0",0.75
"BasalGanglia_L_t_0","Motor_L_t_0",0.22
"BasalGanglia_L_t_0","Motor_R_t_0",0.41
"BasalGanglia_L_t_0","Occipital_L_t_0",0.51
"BasalGanglia_L_t_0","Occipital_R_t_0",0.55
"BasalGanglia_L_t_0","Parietal_L_t_0",0.3
"BasalGanglia_L_t_0","Parietal_R_t_0",0.43
"BasalGanglia_L_t_0","Temporal_L_t_0",0.53
"BasalGanglia_L_t_0","Temporal_R_t_0",0.38
"BasalGanglia_L_t_0","Thalamus_L_t_0",0.48
"BasalGanglia_L_t_0","Thalamus_R_t_0",0.72
"BasalGanglia_L_t_0","Vermis_t_0",0.43
"BasalGanglia_L_t_1","BasalGanglia_L_t_0",0.86
"BasalGanglia_L_t_1","BasalGanglia_R_t_0",0.04
"BasalGanglia_L_t_1","BasalGanglia_R_t_1",1
"BasalGanglia_L_t_1","Cerebellum_L_t_1",0.39
"BasalGanglia_L_t_1","Cerebellum_R_t_0",0.01
"BasalGanglia_L_t_1","Cerebellum_R_t_1",0.36
"BasalGanglia_L_t_1","Cingulate_L_t_0",0.02
"BasalGanglia_L_t_1","Cingulate_L_t_1",0.17
"BasalGanglia_L_t_1","Cingulate_R_t_0",0.01
"BasalGanglia_L_t_1","Cingulate_R_t_1",0.2
"BasalGanglia_L_t_1","DVARS_t_1",0.01
"BasalGanglia_L_t_1","Frontal_L_t_0",0.01
"BasalGanglia_L_t_1","Frontal_L_t_1",0.36
"BasalGanglia_L_t_1","Frontal_Orb_L_t_0",0.01
"BasalGanglia_L_t_1","Frontal_Orb_L_t_1",0.39
"BasalGanglia_L_t_1","Frontal_Orb_R_t_1",0.6
"BasalGanglia_L_t_1","Frontal_R_t_0",0.01
"BasalGanglia_L_t_1","Frontal_R_t_1",0.53
"BasalGanglia_L_t_1","Insula_L_t_0",0.01
"BasalGanglia_L_t_1","Insula_L_t_1",0.29
"BasalGanglia_L_t_1","Insula_R_t_0",0.03
"BasalGanglia_L_t_1","Insula_R_t_1",0.3
"BasalGanglia_L_t_1","Limbic_L_t_0",0.02
